category,scientific_name,common_names,conservation_status,park_name,observations
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Great Smoky Mountains National Park,106
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Yellowstone National Park,237
Mammal,Sus scrofa,"Pig, Pig (Feral), Wild Boar, Wild Boar",No Intervention,Bryce National Park,127
Mammal,Canis latrans,Coyote,Species of Concern,Bryce National Park,85
Mammal,Canis latrans,Coyote,Species of Concern,Yellowstone National Park,206
Mammal,Canis latrans,Coyote,Species of Concern,Great Smoky Mountains National Park,68
Mammal,Canis latrans,Coyote,Species of Concern,Yosemite National Park,99
Mammal,Canis lupus,Gray Wolf,Endangered,Yosemite National Park,35
Mammal,Canis lupus,Gray Wolf,Endangered,Bryce National Park,27
Mammal,Canis lupus,Gray Wolf,Endangered,Bryce National Park,29
Mammal,Canis lupus,Gray Wolf,Endangered,Bryce National Park,74
Mammal,Canis lupus,Gray Wolf,Endangered,Great Smoky Mountains National Park,15
Mammal,Canis lupus,Gray Wolf,Endangered,Yellowstone National Park,60
Mammal,Canis lupus,Gray Wolf,Endangered,Yellowstone National Park,67
Mammal,Canis lupus,Gray Wolf,Endangered,Yellowstone National Park,203
Mammal,Canis lupus,Gray Wolf,Endangered,Great Smoky Mountains National Park,14
Mammal,Canis lupus,Gray Wolf,Endangered,Yosemite National Park,117
Mammal,Canis lupus,Gray Wolf,Endangered,Yosemite National Park,44
Mammal,Canis lupus,Gray Wolf,Endangered,Great Smoky Mountains National Park,30
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Yosemite National Park,35
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Bryce National Park,27
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Bryce National Park,29
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Bryce National Park,74
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Great Smoky Mountains National Park,15
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Yellowstone National Park,60
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Yellowstone National Park,67
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Yellowstone National Park,203
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Great Smoky Mountains National Park,14
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Yosemite National Park,117
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Yosemite National Park,44
Mammal,Canis lupus,"Gray Wolf, Wolf",In Recovery,Great Smoky Mountains National Park,30
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Yosemite National Park,35
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Bryce National Park,27
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Bryce National Park,29
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Bryce National Park,74
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Great Smoky Mountains National Park,15
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Yellowstone National Park,60
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Yellowstone National Park,67
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Yellowstone National Park,203
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Great Smoky Mountains National Park,14
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Yosemite National Park,117
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Yosemite National Park,44
Mammal,Canis lupus,"Gray Wolf, Wolf",Endangered,Great Smoky Mountains National Park,30
Mammal,Canis rufus,Red Wolf,Endangered,Bryce National Park,30
Mammal,Canis rufus,Red Wolf,Endangered,Yosemite National Park,34
Mammal,Canis rufus,Red Wolf,Endangered,Great Smoky Mountains National Park,13
Mammal,Canis rufus,Red Wolf,Endangered,Yellowstone National Park,60
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Great Smoky Mountains National Park,91
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Yosemite National Park,187
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Bryce National Park,124
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Yellowstone National Park,239
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Great Smoky Mountains National Park,71
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Yellowstone National Park,215
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Bryce National Park,123
Mammal,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",No Intervention,Yosemite National Park,149
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Great Smoky Mountains National Park,91
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Yosemite National Park,187
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Bryce National Park,124
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Yellowstone National Park,239
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Great Smoky Mountains National Park,71
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Yellowstone National Park,215
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Bryce National Park,123
Mammal,Urocyon cinereoargenteus,Gray Fox,No Intervention,Yosemite National Park,149
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",No Intervention,Great Smoky Mountains National Park,66
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",No Intervention,Yosemite National Park,133
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",No Intervention,Bryce National Park,114
Mammal,Vulpes fulva,"Black Fox, Cross Fox, Red Fox, Silver Fox",No Intervention,Yellowstone National Park,227
Mammal,Vulpes vulpes,Red Fox,No Intervention,Yellowstone National Park,258
Mammal,Vulpes vulpes,Red Fox,No Intervention,Bryce National Park,82
Mammal,Vulpes vulpes,Red Fox,No Intervention,Great Smoky Mountains National Park,76
Mammal,Vulpes vulpes,Red Fox,No Intervention,Yosemite National Park,134
Mammal,Felis concolor,Mountain Lion,No Intervention,Great Smoky Mountains National Park,72
Mammal,Felis concolor,Mountain Lion,No Intervention,Yellowstone National Park,284
Mammal,Felis concolor,Mountain Lion,No Intervention,Yosemite National Park,146
Mammal,Felis concolor,Mountain Lion,No Intervention,Bryce National Park,65
Mammal,Felis silvestris,"Wild Cat, Wildcat",No Intervention,Bryce National Park,103
Mammal,Felis silvestris,"Wild Cat, Wildcat",No Intervention,Yellowstone National Park,259
Mammal,Felis silvestris,"Wild Cat, Wildcat",No Intervention,Yosemite National Park,150
Mammal,Felis silvestris,"Wild Cat, Wildcat",No Intervention,Great Smoky Mountains National Park,61
Mammal,Lynx rufus,Bobcat,No Intervention,Great Smoky Mountains National Park,30
Mammal,Lynx rufus,Bobcat,No Intervention,Yosemite National Park,157
Mammal,Lynx rufus,Bobcat,No Intervention,Bryce National Park,62
Mammal,Lynx rufus,Bobcat,No Intervention,Yellowstone National Park,259
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Bryce National Park,92
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Great Smoky Mountains National Park,79
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Yellowstone National Park,243
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Great Smoky Mountains National Park,48
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Yosemite National Park,121
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Yosemite National Park,165
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Yellowstone National Park,240
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Bryce National Park,128
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Yellowstone National Park,270
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Great Smoky Mountains National Park,112
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Yosemite National Park,122
Mammal,Puma concolor,Panther (Mountain Lion),No Intervention,Bryce National Park,91
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Bryce National Park,92
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Great Smoky Mountains National Park,79
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Yellowstone National Park,243
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Great Smoky Mountains National Park,48
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Yosemite National Park,121
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Yosemite National Park,165
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Yellowstone National Park,240
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Bryce National Park,128
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Yellowstone National Park,270
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Great Smoky Mountains National Park,112
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Yosemite National Park,122
Mammal,Puma concolor,"Cougar, Mountain Lion, Puma",No Intervention,Bryce National Park,91
Mammal,Puma concolor,Mountain Lion,No Intervention,Bryce National Park,92
Mammal,Puma concolor,Mountain Lion,No Intervention,Great Smoky Mountains National Park,79
Mammal,Puma concolor,Mountain Lion,No Intervention,Yellowstone National Park,243
Mammal,Puma concolor,Mountain Lion,No Intervention,Great Smoky Mountains National Park,48
Mammal,Puma concolor,Mountain Lion,No Intervention,Yosemite National Park,121
Mammal,Puma concolor,Mountain Lion,No Intervention,Yosemite National Park,165
Mammal,Puma concolor,Mountain Lion,No Intervention,Yellowstone National Park,240
Mammal,Puma concolor,Mountain Lion,No Intervention,Bryce National Park,128
Mammal,Puma concolor,Mountain Lion,No Intervention,Yellowstone National Park,270
Mammal,Puma concolor,Mountain Lion,No Intervention,Great Smoky Mountains National Park,112
Mammal,Puma concolor,Mountain Lion,No Intervention,Yosemite National Park,122
Mammal,Puma concolor,Mountain Lion,No Intervention,Bryce National Park,91
Mammal,Mephitis mephitis,Striped Skunk,No Intervention,Yellowstone National Park,257
Mammal,Mephitis mephitis,Striped Skunk,No Intervention,Great Smoky Mountains National Park,63
Mammal,Mephitis mephitis,Striped Skunk,No Intervention,Bryce National Park,113
Mammal,Mephitis mephitis,Striped Skunk,No Intervention,Yosemite National Park,141
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Yellowstone National Park,256
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Great Smoky Mountains National Park,103
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Great Smoky Mountains National Park,57
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Yosemite National Park,133
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Yosemite National Park,141
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Bryce National Park,116
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Yellowstone National Park,256
Mammal,Spilogale putorius,Eastern Spotted Skunk,No Intervention,Bryce National Park,72
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Yellowstone National Park,256
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Great Smoky Mountains National Park,103
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Great Smoky Mountains National Park,57
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Yosemite National Park,133
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Yosemite National Park,141
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Bryce National Park,116
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Yellowstone National Park,256
Mammal,Spilogale putorius,Spotted Skunk,No Intervention,Bryce National Park,72
Mammal,Lontra canadensis,River Otter,No Intervention,Bryce National Park,99
Mammal,Lontra canadensis,River Otter,No Intervention,Yosemite National Park,175
Mammal,Lontra canadensis,River Otter,No Intervention,Great Smoky Mountains National Park,69
Mammal,Lontra canadensis,River Otter,No Intervention,Yellowstone National Park,219
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Bryce National Park,127
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Great Smoky Mountains National Park,62
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Yosemite National Park,187
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Great Smoky Mountains National Park,65
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Yosemite National Park,193
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Yellowstone National Park,242
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Yellowstone National Park,216
Mammal,Lutra canadensis,Northern River Otter,No Intervention,Bryce National Park,91
Mammal,Lutra canadensis,River Otter,No Intervention,Bryce National Park,127
Mammal,Lutra canadensis,River Otter,No Intervention,Great Smoky Mountains National Park,62
Mammal,Lutra canadensis,River Otter,No Intervention,Yosemite National Park,187
Mammal,Lutra canadensis,River Otter,No Intervention,Great Smoky Mountains National Park,65
Mammal,Lutra canadensis,River Otter,No Intervention,Yosemite National Park,193
Mammal,Lutra canadensis,River Otter,No Intervention,Yellowstone National Park,242
Mammal,Lutra canadensis,River Otter,No Intervention,Yellowstone National Park,216
Mammal,Lutra canadensis,River Otter,No Intervention,Bryce National Park,91
Mammal,Martes pennanti,Fisher,No Intervention,Bryce National Park,75
Mammal,Martes pennanti,Fisher,No Intervention,Great Smoky Mountains National Park,68
Mammal,Martes pennanti,Fisher,No Intervention,Yellowstone National Park,268
Mammal,Martes pennanti,Fisher,No Intervention,Yosemite National Park,153
Mammal,Mustela,Mink (Or Weasel),No Intervention,Yellowstone National Park,234
Mammal,Mustela,Mink (Or Weasel),No Intervention,Yosemite National Park,130
Mammal,Mustela,Mink (Or Weasel),No Intervention,Great Smoky Mountains National Park,82
Mammal,Mustela,Mink (Or Weasel),No Intervention,Bryce National Park,94
Mammal,Mustela frenata,Long-Tailed Weasel,No Intervention,Yellowstone National Park,252
Mammal,Mustela frenata,Long-Tailed Weasel,No Intervention,Great Smoky Mountains National Park,77
Mammal,Mustela frenata,Long-Tailed Weasel,No Intervention,Yosemite National Park,123
Mammal,Mustela frenata,Long-Tailed Weasel,No Intervention,Bryce National Park,109
Mammal,Mustela nivalis,Least Weasel,No Intervention,Great Smoky Mountains National Park,75
Mammal,Mustela nivalis,Least Weasel,No Intervention,Bryce National Park,96
Mammal,Mustela nivalis,Least Weasel,No Intervention,Yosemite National Park,155
Mammal,Mustela nivalis,Least Weasel,No Intervention,Yellowstone National Park,209
Mammal,Mustela vison,Mink,No Intervention,Yosemite National Park,140
Mammal,Mustela vison,Mink,No Intervention,Great Smoky Mountains National Park,78
Mammal,Mustela vison,Mink,No Intervention,Bryce National Park,80
Mammal,Mustela vison,Mink,No Intervention,Yellowstone National Park,222
Mammal,Mustela vison,Mink,No Intervention,Yellowstone National Park,251
Mammal,Mustela vison,Mink,No Intervention,Yosemite National Park,182
Mammal,Mustela vison,Mink,No Intervention,Bryce National Park,97
Mammal,Mustela vison,Mink,No Intervention,Great Smoky Mountains National Park,54
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Yosemite National Park,140
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Great Smoky Mountains National Park,78
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Bryce National Park,80
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Yellowstone National Park,222
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Yellowstone National Park,251
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Yosemite National Park,182
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Bryce National Park,97
Mammal,Mustela vison,"American Mink, Mink",No Intervention,Great Smoky Mountains National Park,54
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Bryce National Park,89
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Great Smoky Mountains National Park,100
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Yosemite National Park,166
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Yellowstone National Park,240
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Bryce National Park,81
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Yellowstone National Park,256
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Great Smoky Mountains National Park,84
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Yellowstone National Park,249
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Yosemite National Park,154
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Great Smoky Mountains National Park,63
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Bryce National Park,77
Mammal,Procyon lotor,"Common Raccoon, Raccoon",No Intervention,Yosemite National Park,133
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Bryce National Park,89
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Great Smoky Mountains National Park,100
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Yosemite National Park,166
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Yellowstone National Park,240
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Bryce National Park,81
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Yellowstone National Park,256
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Great Smoky Mountains National Park,84
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Yellowstone National Park,249
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Yosemite National Park,154
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Great Smoky Mountains National Park,63
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Bryce National Park,77
Mammal,Procyon lotor,"Common Raccoon, Northern Raccoon, Raccoon",No Intervention,Yosemite National Park,133
Mammal,Procyon lotor,Raccoon,No Intervention,Bryce National Park,89
Mammal,Procyon lotor,Raccoon,No Intervention,Great Smoky Mountains National Park,100
Mammal,Procyon lotor,Raccoon,No Intervention,Yosemite National Park,166
Mammal,Procyon lotor,Raccoon,No Intervention,Yellowstone National Park,240
Mammal,Procyon lotor,Raccoon,No Intervention,Bryce National Park,81
Mammal,Procyon lotor,Raccoon,No Intervention,Yellowstone National Park,256
Mammal,Procyon lotor,Raccoon,No Intervention,Great Smoky Mountains National Park,84
Mammal,Procyon lotor,Raccoon,No Intervention,Yellowstone National Park,249
Mammal,Procyon lotor,Raccoon,No Intervention,Yosemite National Park,154
Mammal,Procyon lotor,Raccoon,No Intervention,Great Smoky Mountains National Park,63
Mammal,Procyon lotor,Raccoon,No Intervention,Bryce National Park,77
Mammal,Procyon lotor,Raccoon,No Intervention,Yosemite National Park,133
Mammal,Ursus americanus,Black Bear,No Intervention,Yosemite National Park,162
Mammal,Ursus americanus,Black Bear,No Intervention,Great Smoky Mountains National Park,94
Mammal,Ursus americanus,Black Bear,No Intervention,Bryce National Park,86
Mammal,Ursus americanus,Black Bear,No Intervention,Bryce National Park,128
Mammal,Ursus americanus,Black Bear,No Intervention,Yellowstone National Park,245
Mammal,Ursus americanus,Black Bear,No Intervention,Great Smoky Mountains National Park,28
Mammal,Ursus americanus,Black Bear,No Intervention,Yellowstone National Park,228
Mammal,Ursus americanus,Black Bear,No Intervention,Yosemite National Park,161
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Yosemite National Park,162
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Great Smoky Mountains National Park,94
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Bryce National Park,86
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Bryce National Park,128
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Yellowstone National Park,245
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Great Smoky Mountains National Park,28
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Yellowstone National Park,228
Mammal,Ursus americanus,"American Black Bear, Black Bear",No Intervention,Yosemite National Park,161
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,No Intervention,Yosemite National Park,188
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,No Intervention,Great Smoky Mountains National Park,80
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,No Intervention,Bryce National Park,57
Mammal,Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,No Intervention,Yellowstone National Park,259
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yellowstone National Park,227
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Bryce National Park,112
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Great Smoky Mountains National Park,59
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yosemite National Park,130
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yosemite National Park,124
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Great Smoky Mountains National Park,87
Mammal,Eptesicus fuscus,Big Brown Bat,Species of Concern,Yellowstone National Park,236
