category,scientific_name,common_names,conservation_status
Bird,Aythya americana,Redhead,No Intervention
Bird,Aythya collaris,Ring-Necked Duck,No Intervention
Bird,Branta bernicla,Brant,No Intervention
Bird,Branta canadensis,Canada Goose,No Intervention
Bird,Bucephala albeola,Bufflehead,No Intervention
Bird,Bucephala clangula,Common Goldeneye,No Intervention
Bird,Chen caerulescens,Snow Goose,No Intervention
Bird,Histrionicus histrionicus,Harlequin Duck,No Intervention
Bird,Lophodytes cucullatus,Hooded Merganser,No Intervention
Bird,Melanitta deglandi,White-Winged Scoter,No Intervention
Bird,Melanitta fusca,White-Winged Scoter,No Intervention
Bird,Melanitta nigra,Black Scoter,No Intervention
Bird,Mergus merganser,Common Merganser,No Intervention
Bird,Mergus serrator,Red-Breasted Merganser,No Intervention
Bird,Oxyura jamaicensis,Ruddy Duck,No Intervention
Bird,Chaetura pelagica,Chimney Swift,No Intervention
Bird,Archilochus colubris,Ruby-Throated Hummingbird,No Intervention
Bird,Caprimulgus carolinensis,Chuck-Will's-Widow,No Intervention
Bird,Caprimulgus vociferus,Whip-Poor-Will,No Intervention
Bird,Chordeiles minor,Common Nighthawk,No Intervention
Bird,Charadrius semipalmatus,Semipalmated Plover,No Intervention
Bird,Charadrius vociferus,Killdeer,No Intervention
Bird,Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",No Intervention
Bird,Chlidonias niger,Black Tern,Species of Concern
Bird,Larus argentatis,Herring Gull,No Intervention
Bird,Larus atricilla,Laughing Gull,Species of Concern
Bird,Larus delawarensis,Ring-Billed Gull,No Intervention
Bird,Larus philadelphia,Bonaparte's Gull,No Intervention
Bird,Sterna fuscata,Sooty Tern,No Intervention
Bird,Actitis macularia,Spotted Sandpiper,No Intervention
Bird,Calidris minutilla,Least Sandpiper,No Intervention
Bird,Calidris pusilla,Semipalmated Sandpiper,No Intervention
Bird,Catoptrophorus semipalmatus,Willet,No Intervention
Bird,Gallinago gallinago,Common Snipe,No Intervention
Bird,Limnodromus griseus,Short-Billed Dowitcher,No Intervention
Bird,Phalaropus fulicarius,Red Phalarope,No Intervention
Bird,Phalaropus lobatus,Red-Necked Phalarope,No Intervention
Bird,Philomachus pugnax,Ruff,No Intervention
Bird,Scolopax minor,American Woodcock,No Intervention
Bird,Tringa flavipes,Lesser Yellowlegs,No Intervention
Bird,Tringa melanoleuca,Greater Yellowlegs,No Intervention
Bird,Tringa solitaria,Solitary Sandpiper,No Intervention
Bird,Columba livia,Rock Dove,No Intervention
Bird,Ectopistes migratorius,Passenger Pigeon,No Intervention
Bird,Zenaida macroura,Mourning Dove,No Intervention
Bird,Ceryle alcyon,Belted Kingfisher,No Intervention
Bird,Ceryle torquata,Ringed Kingfisher,No Intervention
Bird,Coccyzus americanus,Yellow-Billed Cuckoo,No Intervention
Bird,Coccyzus erythropthalmus,Black-Billed Cuckoo,Species of Concern
Bird,Falco columbarius,Merlin,Species of Concern
Bird,Falco peregrinus,Peregrine Falcon,Species of Concern
Bird,Falco sparverius,American Kestrel,No Intervention
Bird,Colinus virginianus,Northern Bobwhite,No Intervention
Bird,Alectoris chukar,Chukar,No Intervention
Bird,Bonasa umbellus,Ruffed Grouse,No Intervention
Bird,Meleagris gallopavo,Wild Turkey,No Intervention
Bird,Pavo cristatus,Peacock,No Intervention
Bird,Phasianus colchicus,"Common Pheasant, Ring-Necked Pheasant",No Intervention
Bird,Gavia immer,Common Loon,Species of Concern
Bird,Grus americana,Whooping Crane,Endangered
Bird,Grus canadensis,Sandhill Crane,No Intervention
Bird,Fulica americana,American Coot,No Intervention
Bird,Gallinula chloropus,Common Moorhen,No Intervention
Bird,Porzana carolina,Sora,No Intervention
Bird,Rallus elegans,King Rail,Species of Concern
Bird,Rallus limicola,Virginia Rail,No Intervention
Bird,Eremophila alpestris,Horned Lark,No Intervention
Bird,Bombycilla cedrorum,Cedar Waxwing,No Intervention
Bird,Calcarius ornatus,Chestnut-Collared Longspur,No Intervention
Bird,Plectrophenax nivalis,Snow Bunting,No Intervention
Bird,Cardinalis cardinalis,Northern Cardinal,No Intervention
Bird,Guiraca caerulea,Blue Grosbeak,Species of Concern
Bird,Passerina cyanea,Indigo Bunting,No Intervention
Bird,Pheucticus ludovicianus,Rose-Breasted Grosbeak,No Intervention
Bird,Piranga olivacea,Scarlet Tanager,No Intervention
Bird,Piranga rubra,Summer Tanager,Species of Concern
Bird,Spiza americana,Dickcissel,No Intervention
Bird,Certhia americana,Brown Creeper,Species of Concern
Bird,Certhia familiaris,Eurasian Treecreeper,No Intervention
Bird,Corvus brachyrhynchos,American Crow,No Intervention
Bird,Corvus corax,Common Raven,No Intervention
Bird,Cyanocitta cristata,Blue Jay,No Intervention
Bird,Aimophila aestivalis,Bachman's Sparrow,Species of Concern
Bird,Ammodramus henslowii,Henslow's Sparrow,No Intervention
Bird,Ammodramus leconteii,Le Conte's Sparrow,No Intervention
Bird,Ammodramus savannarum,Grasshopper Sparrow,Species of Concern
Bird,Chondestes grammacus,Lark Sparrow,No Intervention
Bird,Junco hyemalis,Dark-Eyed Junco,No Intervention
Bird,Melospiza georgiana,Swamp Sparrow,No Intervention
Bird,Melospiza lincolnii,Lincoln's Sparrow,Species of Concern
Bird,Melospiza melodia,Song Sparrow,No Intervention
Bird,Passerculus sandwichensis,Savannah Sparrow,No Intervention
Bird,Passerella iliaca,Fox Sparrow,No Intervention
Bird,Pipilo erythrophthalmus,"Eastern Towhee, Rufous-Sided Towhee",No Intervention
Bird,Pooecetes gramineus,Vesper Sparrow,No Intervention
Bird,Spizella arborea,American Tree Sparrow,No Intervention
Bird,Spizella passerina,Chipping Sparrow,No Intervention
Bird,Spizella pusilla,Field Sparrow,No Intervention
Bird,Zonotrichia albicollis,White-Throated Sparrow,No Intervention
Bird,Zonotrichia atricapilla,Golden-Crowned Sparrow,No Intervention
Bird,Zonotrichia leucophrys,White-Crowned Sparrow,No Intervention
Bird,Carduelis flammea,Common Redpoll,No Intervention
Bird,Carduelis pinus,Pine Siskin,No Intervention
Bird,Carduelis tristis,American Goldfinch,No Intervention
Bird,Carpodacus mexicanus,House Finch,No Intervention
Bird,Carpodacus purpureus,Purple Finch,No Intervention
Bird,Coccothraustes vespertinus,Evening Grosbeak,No Intervention
Bird,Loxia curvirostra,Red Crossbill,Species of Concern
Bird,Loxia leucoptera,White-Winged Crossbill,No Intervention
Bird,Hirundo rustica,Barn Swallow,No Intervention
Bird,Petrochelidon pyrrhonota,Cliff Swallow,No Intervention
Bird,Progne subis,Purple Martin,Species of Concern
Bird,Riparia riparia,Bank Swallow,Species of Concern
Bird,Stelgidopteryx serripennis,Northern Rough-Winged Swallow,No Intervention
Bird,Tachycineta bicolor,Tree Swallow,Species of Concern
Bird,Agelaius phoeniceus,Red-Winged Blackbird,No Intervention
Bird,Dolichonyx oryzivorus,Bobolink,No Intervention
Bird,Euphagus carolinus,Rusty Blackbird,No Intervention
Bird,Icterus galbula,"Baltimore Oriole, Northern Oriole",No Intervention
Bird,Icterus spurius,Orchard Oriole,No Intervention
Bird,Molothrus ater,Brown-Headed Cowbird,No Intervention
Bird,Quiscalus quiscula,Common Grackle,No Intervention
Bird,Sturnella magna,Eastern Meadowlark,No Intervention
Bird,Xanthocephalus xanthocephalus,Yellow-Headed Blackbird,No Intervention
Bird,Lanius ludovicianus,Loggerhead Shrike,Species of Concern
Bird,Dumetella carolinensis,Gray Catbird,No Intervention
Bird,Mimus polyglottos,"Mockingbird, Northern Mockingbird",No Intervention
Bird,Toxostoma rufum,Brown Thrasher,No Intervention
Bird,Anthus rubescens,Water Pipit,No Intervention
Bird,Anthus spinoletta,Water Pipit,No Intervention
Bird,Baeolophus bicolor,Tufted Titmouse,No Intervention
Bird,Poecile atricapillus,Black-Capped Chickadee,No Intervention
Bird,Poecile carolinensis,Carolina Chickadee,No Intervention
Bird,Dendroica caerulescens,Black-Throated Blue Warbler,No Intervention
Bird,Dendroica castanea,Bay-Breasted Warbler,No Intervention
Bird,Dendroica cerulea,Cerulean Warbler,No Intervention
Bird,Dendroica coronata,Yellow-Rumped Warbler,No Intervention
Bird,Dendroica discolor,Prairie Warbler,No Intervention
Bird,Dendroica dominica,Yellow-Throated Warbler,No Intervention
Bird,Dendroica fusca,Blackburnian Warbler,No Intervention
Bird,Dendroica magnolia,Magnolia Warbler,No Intervention
Bird,Dendroica palmarum,Palm Warbler,No Intervention
Bird,Dendroica pensylvanica,Chestnut-Sided Warbler,No Intervention
Bird,Dendroica petechia,Yellow Warbler,No Intervention
Bird,Dendroica pinus,Pine Warbler,No Intervention
Bird,Dendroica striata,Blackpoll Warbler,No Intervention
Bird,Dendroica tigrina,Cape May Warbler,No Intervention
Bird,Dendroica virens,Black-Throated Green Warbler,No Intervention
Bird,Geothlypis trichas,Common Yellowthroat,No Intervention
Bird,Helmitheros vermivorus,Worm-Eating Warbler,No Intervention
Bird,Icteria virens,Yellow-Breasted Chat,Species of Concern
Bird,Limnothlypis swainsonii,Swainson's Warbler,No Intervention
Bird,Mniotilta varia,Black-And-White Warbler,No Intervention
Bird,Oporornis agilis,Connecticut Warbler,No Intervention
Bird,Oporornis formosus,Kentucky Warbler,No Intervention
Bird,Oporornis philadelphia,Mourning Warbler,No Intervention
Bird,Parula americana,Northern Parula,No Intervention
Bird,Protonotaria citrea,Prothonotary Warbler,No Intervention
Bird,Seiurus aurocapilla,Ovenbird,No Intervention
Bird,Seiurus motacilla,Louisiana Waterthrush,No Intervention
Bird,Seiurus noveboracensis,Northern Waterthrush,No Intervention
Bird,Setophaga ruticilla,American Redstart,No Intervention
Bird,Vermivora bachmanii,"Bachman's Warbler, Bachman's Wood Warbler",Endangered
Bird,Vermivora celata,Orange-Crowned Warbler,No Intervention
Bird,Vermivora chrysoptera X pinus,Brewster's Warbler,No Intervention
Bird,Vermivora lawrencei,Lawrence's Warbler,No Intervention
Bird,Vermivora lawrencii,Lawrence's Warbler,No Intervention
Bird,Vermivora leucobronchialis,Brewster's Warbler,No Intervention
Bird,Vermivora peregrina,Tennessee Warbler,No Intervention
Bird,Vermivora pinus,Blue-Winged Warbler,No Intervention
Bird,Vermivora ruficapilla,Nashville Warbler,Species of Concern
Bird,Wilsonia canadensis,Canada Warbler,No Intervention
Bird,Wilsonia citrina,Hooded Warbler,No Intervention
Bird,Wilsonia pusilla,Wilson's Warbler,Species of Concern
Bird,Passer domesticus,House Sparrow,No Intervention
Bird,Polioptila caerulea,Blue-Gray Gnatcatcher,No Intervention
Bird,Regulus calendula,Ruby-Crowned Kinglet,No Intervention
Bird,Regulus satrapa,Golden-Crowned Kinglet,No Intervention
Bird,Sitta canadensis,Red-Breasted Nuthatch,No Intervention
Bird,Sitta carolinensis,White-Breasted Nuthatch,No Intervention
Bird,Sturnus vulgaris,European Starling,No Intervention
Bird,Cistothorus palustris,Marsh Wren,No Intervention
Bird,Cistothorus platensis,Sedge Wren,No Intervention
Bird,Thryomanes bewickii,Bewick's Wren,No Intervention
Bird,Thryomanes bewickii altus,Appalachian Bewick's Wren,Species of Concern
Bird,Thryothorus ludovicianus,Carolina Wren,No Intervention
Bird,Troglodytes aedon,House Wren,No Intervention
Bird,Troglodytes troglodytes,Winter Wren,No Intervention
Bird,Catharus fuscescens,Veery,No Intervention
Bird,Catharus guttatus,Hermit Thrush,No Intervention
Bird,Catharus minimus,Gray-Cheeked Thrush,No Intervention
Bird,Catharus ustulatus,Swainson's Thrush,No Intervention
Bird,Hylocichla mustelina,Wood Thrush,No Intervention
Bird,Sialia sialis,Eastern Bluebird,No Intervention
Bird,Turdus migratorius,American Robin,No Intervention
Bird,Contopus borealis,Olive-Sided Flycatcher,No Intervention
Bird,Contopus cooperi,Olive-Sided Flycatcher,Species of Concern
Bird,Contopus virens,Eastern Wood-Pewee,No Intervention
Bird,Empidonax alnorum,Alder Flycatcher,No Intervention
Bird,Empidonax flaviventris,Yellow-Bellied Flycatcher,No Intervention
Bird,Empidonax minimus,Least Flycatcher,No Intervention
Bird,Empidonax traillii,Willow Flycatcher,Species of Concern
Bird,Empidonax virescens,Acadian Flycatcher,No Intervention
Bird,Myiarchus crinitus,Great Crested Flycatcher,No Intervention
Bird,Sayornis phoebe,Eastern Phoebe,No Intervention
Bird,Tyrannus forficata,Scissor-Tailed Flycatcher,No Intervention
Bird,Tyrannus forficatus,Scissor-Tailed Flycatcher,No Intervention
Bird,Tyrannus tyrannus,Eastern Kingbird,No Intervention
Bird,Tyrannus verticalis,Western Kingbird,No Intervention
Bird,Vireo flavifrons,Yellow-Throated Vireo,No Intervention
Bird,Vireo gilvus,Warbling Vireo,No Intervention
Bird,Vireo griseus,White-Eyed Vireo,No Intervention
Bird,Vireo olivaceus,Red-Eyed Vireo,No Intervention
Bird,Vireo philadelphicus,Philadelphia Vireo,No Intervention
Bird,Vireo solitarius,"Blue-Headed Vireo, Solitary Vireo",No Intervention
Bird,Ardea alba,Great Egret,No Intervention
Bird,Ardea albus,Great Egret,No Intervention
Bird,Ardea herodias,Great Blue Heron,Species of Concern
Bird,Botaurus lentiginosus,American Bittern,Species of Concern
Bird,Butorides virescens,Green-Backed Heron,No Intervention
Bird,Egretta caerulea,Little Blue Heron,No Intervention
Bird,Ixobrychus exilis,Least Bittern,No Intervention
Bird,Nyctanassa violacea,Yellow-Crowned Night-Heron,No Intervention
Bird,Nycticorax nycticorax,Black-Crowned Night-Heron,Species of Concern
Bird,Pelecanus erythrorhynchos,American White Pelican,Species of Concern
Bird,Colaptes auratus,Northern Flicker,No Intervention
Bird,Dryocopus pileatus,Pileated Woodpecker,Species of Concern
Bird,Melanerpes carolinus,Red-Bellied Woodpecker,No Intervention
Bird,Melanerpes erythrocephalus,Red-Headed Woodpecker,No Intervention
Bird,Picoides borealis,Red-Cockaded Woodpecker,Endangered
Bird,Picoides pubescens,Downy Woodpecker,Species of Concern
Bird,Picoides villosus,Hairy Woodpecker,No Intervention
Bird,Sphyrapicus varius,Yellow-Bellied Sapsucker,Species of Concern
Bird,Podiceps auritus,Horned Grebe,No Intervention
Bird,Podilymbus podiceps,Pied-Billed Grebe,No Intervention
Bird,Oceanodroma castro,Band-Rumped Storm-Petrel,No Intervention
Bird,Aegolius,Saw-Whet Owls,No Intervention
Bird,Aegolius acadicus,Northern Saw-Whet Owl,No Intervention
Bird,Asio flammeus,Short-Eared Owl,Species of Concern
Bird,Asio otus,Long-Eared Owl,Species of Concern
Bird,Bubo virginianus,Great Horned Owl,No Intervention
Bird,Megascops asio,"Eastern Screech Owl, Eastern Screech-Owl",No Intervention
Bird,Otus asio,Eastern Screech-Owl,No Intervention
Bird,Strix varia,Barred Owl,No Intervention
Bird,Tyto alba,"Barn Owl, Common Barn-Owl",No Intervention
Bird,Tytonidae,Barn-Owls,No Intervention
Bird,Phalacrocorax auritus,Double-Crested Cormorant,Species of Concern
Reptile,Ophisaurus attenuatus longicaudus,Eastern Slender Glass Lizard,No Intervention
Reptile,Carphophis,"Worm Snakes, Wormsnakes",No Intervention
Reptile,Carphophis amoenus amoenus,Eastern Worm Snake,No Intervention
Reptile,Carphophis amoenus helenae,Midwest Worm Snake,No Intervention
Reptile,Cemophora coccinea copei,Northern Scarlet Snake,No Intervention
Reptile,Coluber constrictor constrictor,Northern Black Racer,No Intervention
Reptile,Diadophis punctatus edwardsii,Northern Ringneck Snake,No Intervention
Reptile,Elaphe guttata guttata,Corn Snake,No Intervention
Reptile,Elaphe obsoleta obsoleta,Black Rat Snake,No Intervention
Reptile,Heterodon platirhinos,Eastern Hognose Snake,No Intervention
Reptile,Lampropeltis,"Kingsnakes, Milk Snakes",No Intervention
Reptile,Lampropeltis calligaster rhombomaculata,Mole Kingsnake,No Intervention
Reptile,Lampropeltis getula getula,Eastern Kingsnake,No Intervention
Reptile,Lampropeltis getula nigra,Black Kingsnake,No Intervention
Reptile,Lampropeltis triangulum elapsoides,Scarlet Kingsnake,No Intervention
Reptile,Lampropeltis triangulum triangulum,Eastern Milk Snake,No Intervention
Reptile,Nerodia erythrogaster,Plainbelly Water Snake,No Intervention
Reptile,Nerodia erythrogaster flavigaster,"Yellowbelly Water Snake, Yellowbelly Watersnake",No Intervention
Reptile,Nerodia sipedon sipedon,Northern Water Snake,No Intervention
Reptile,Opheodrys aestivus aestivus,Eastern Rough Green Snake,No Intervention
Reptile,Pituophis melanoleucus melanoleucus,Northern Pine Snake,Species of Concern
Reptile,Regina septemvittata,Queen Snake,Species of Concern
Reptile,Storeria dekayi dekayi,Northern Brown Snake,No Intervention
Reptile,Storeria dekayi wrightorum,Midland Brown Snake,No Intervention
Reptile,Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,No Intervention
Reptile,Tantilla coronata,Southeastern Crowned Snake,No Intervention
Reptile,Thamnophis sirtalis sirtalis,Common Garter Snake,No Intervention
Reptile,Virginia valeriae valeriae,Eastern Earth Snake,No Intervention
Reptile,Anolis carolinensis carolinensis,Northern Green Anole,No Intervention
Reptile,Sceloporus undulatus hyacinthinus,Northern Fence Lizard,No Intervention
Reptile,Eumeces anthracinus,Coal Skink,No Intervention
Reptile,Eumeces fasciatus,Five-Lined Skink,No Intervention
Reptile,Eumeces inexpectatus,Southeastern Five-Lined Skink,No Intervention
Reptile,Eumeces laticeps,Broadhead Skink,No Intervention
Reptile,Scincella lateralis,Ground Skink,No Intervention
Reptile,Cnemidophorus sexlineatus sexlineatus,Eastern Six-Lined Racerunner,No Intervention
Reptile,Agkistrodon contortrix mokasen,Northern Copperhead,No Intervention
Reptile,Crotalus horridus,Timber Rattlesnake,No Intervention
Reptile,Chelydra serpentina serpentina,Common Snapping Turtle,No Intervention
Reptile,Chrysemys picta marginata,Midland Painted Turtle,No Intervention
Reptile,Chrysemys picta picta,Eastern Painted Turtle,No Intervention
Reptile,Clemmys muhlenbergii,Bog Turtle,No Intervention
Reptile,Graptemys geographica,"Common Map Turtle, Map Turtle",No Intervention
Reptile,Graptemys ouachitensis,Ouachita Map Turtle,No Intervention
Reptile,Terrapene carolina carolina,Eastern Box Turtle,No Intervention
Reptile,Trachemys scripta,Slider,No Intervention
Reptile,Trachemys scripta troostii,Cumberland Slider,No Intervention
Reptile,Sternotherus minor peltifer,"Stripeneck Musk Turtle, Stripe-Necked Musk Turtle",No Intervention
Reptile,Sternotherus odoratus,Common Musk Turtle,No Intervention
Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",No Intervention
Amphibian,Bufo americanus americanus,Eastern American Toad,No Intervention
Amphibian,Bufo fowleri,"Fowler's Toad, Woodhouse's Toad",No Intervention
Amphibian,Acris crepitans crepitans,Northern Cricket Frog,No Intervention
Amphibian,Hyla chrysoscelis,Cope's Gray Treefrog,No Intervention
Amphibian,Hyla versicolor,Gray Treefrog,No Intervention
Amphibian,Pseudacris brachyphona,Mountain Chorus Frog,No Intervention
Amphibian,Pseudacris crucifer crucifer,Northern Spring Peeper,No Intervention
Amphibian,Pseudacris feriarum feriarum,Upland Chorus Frog,No Intervention
Amphibian,Pseudacris triseriata,"Striped Chorus Frog, Western Chorus Frog",No Intervention
Amphibian,Gastrophryne carolinensis,Eastern Narrow-Mouthed Toad,No Intervention
Amphibian,Rana catesbeiana,American Bullfrog,No Intervention
Amphibian,Rana clamitans melanota,Northern Green Frog,No Intervention
Amphibian,Rana palustris,Pickerel Frog,No Intervention
Amphibian,Rana pipiens,Northern Leopard Frog,No Intervention
Amphibian,Rana sphenocephala,Southern Leopard Frog,No Intervention
Amphibian,Rana sylvatica,Wood Frog,No Intervention
Amphibian,Scaphiopus holbrookii holbrookii,Eastern Spadefoot,No Intervention
Amphibian,Ambystoma maculatum,Spotted Salamander,No Intervention
Amphibian,Ambystoma opacum,Marbled Salamander,No Intervention
Amphibian,Ambystoma talpoideum,Mole Salamander,No Intervention
Amphibian,Cryptobranchus alleganiensis alleganiensis,Eastern Hellbender,Species of Concern
Amphibian,Desmognathus conanti,Spotted Dusky Salamander,No Intervention
Amphibian,Desmognathus imitator,Imitator Salamander,No Intervention
Amphibian,Desmognathus marmoratus,Shovel-Nosed Salamander,No Intervention
Amphibian,Desmognathus monticola,Seal Salamander,No Intervention
Amphibian,Desmognathus ocoee,Ocoee Salamander,No Intervention
Amphibian,Desmognathus quadramaculatus,Black-Bellied Salamander,No Intervention
